Nobody Has to Know (feat. Ty Dolla $ign),Kranium,Nobody Has to Know (feat. Ty Dolla $ign) - Single
Goodbye,Kristinia DeBarge,Exposed
This Girl (Kungs vs. Cookin' on 3 Burners),Kungs & Cookin' On 3 Burners,
Get High,Ky-Mani Marley,Maestro
Beneath Your Beautiful (feat. Emeli Sandé),Labrinth,Beneath Your Beautiful - EP
Born This Way,Lady Gaga,Born This Way
Paparazzi,Lady Gaga,The Fame
Poker Face,Lady Gaga,The Fame
Money Honey,Lady Gaga,The Fame
Paper Gangsta,Lady Gaga,The Fame
Alejandro,Lady Gaga,The Fame Monster (Deluxe Edition)
Monster,Lady Gaga,The Fame Monster (Deluxe Edition)
Man Is the Least,Lady Saw,Extra Raw - The Best of Lady Saw
Friend of God (Live),Lakewood Church,Cover the Earth
I Like Me Better,Lauv,I Like Me Better - Single
One By One (feat. Mavado),Laza Morgan,"Strictly the Best, Vol. 45"
Better In Time (Single Mix),Leona Lewis,Spirit (The Deluxe Edition)
Pure Cocaine,Lil Baby,Street Gossip
Drip Too Hard,Lil Baby & Gunna,Drip Harder
Smile (Living My Best Life) [feat. Snoop Dogg & Ball Greezy],Lil Duval,Smile (Living My Best Life) [feat. Snoop Dogg & Ball Greezy] - Single
Drop the World,Lil Wayne,Rebirth (Deluxe Version)
Knockout,Lil Wayne,Rebirth (Deluxe Version)
How to Love,Lil Wayne,Tha Carter IV (Deluxe Edition)
F**k You,Lily Allen,"It's Not Me, It's You (Deluxe Version)"
Good as Hell,Lizzo,Coconut Oil - EP
Juice,Lizzo,Cuz I Love You
Truth Hurts,Lizzo,Cuz I Love You (Super Deluxe)
Good as Hell (feat. Ariana Grande) [Remix],Lizzo,Good as Hell (Remix) [feat. Ariana Grande] - Single
Despacito (feat. Justin Bieber) [Remix],Luis Fonsi & Daddy Yankee,VIDA
7 Years,Lukas Graham,Lukas Graham
Fast Wine,Machel Montano,Fast Wine - Single
Happiest Man Alive,Machel Montano,Happiest Man Alive
Dye Dye (Raw),Macka Diamond,Dye Dye - Single
Dye Dye (Radio),Macka Diamond,Dye Dye - Single
Rude,MAGIC!,Don't Kill the Magic
Angels Cry Remix (feat. Ne-Yo),Mariah Carey,Angels Cry Remix (feat. Ne-Yo) - Single
Always Be My Baby,Mariah Carey,Daydream
Obsessed,Mariah Carey,Memoirs of an Imperfect Angel
Oh Santa!,Mariah Carey,Merry Christmas II You
Uptown Funk (feat. Bruno Mars),Mark Ronson,Uptown Special
Girls Like You (feat. Cardi B),Maroon 5,Girls Like You (feat. Cardi B) - Single
If I Never See Your Face Again (feat. Rihanna),Maroon 5,Good Girl Gone Bad: Reloaded
